componentId,warehouse,workstation,teamLead,process,duration,createAt,status,updatedAt,,
W-1.115,Grand Junction,,Joel,Ship,5,2025-05-13,complete,2025-05-13,,
W-1.116,Grand Junction,,Mike,Ship,64,2025-05-14,complete,2025-05-14,,
W-1.113,Grand Junction,,Mike,Ship,111,2025-05-14,complete,2025-05-14,,
W-1.102,Grand Junction,,Adan,Ship,104,2025-05-14,complete,2025-05-14,,
W-1.108,Grand Junction,,Adan,Ship,30,2025-05-14,complete,2025-05-14,,
F-25,Grand Junction,,Andres,Ship,180,2025-05-20,complete,2025-05-20,,
F-23,Grand Junction,,Andres,Ship,85,2025-05-21,complete,2025-05-21,,
F-28,Grand Junction,,Andres,Ship,95,2025-05-21,complete,2025-05-21,,
F-24A,Grand Junction,,Adrian,Ship,180,2025-05-21,complete,2025-05-21,,
F-24B,Grand Junction,,Adrian,Ship,180,2025-05-21,complete,2025-05-21,,
F-26,Grand Junction,,Andres,Ship,180,2025-05-22,complete,2025-05-22,,
F-29,Grand Junction,,Andres,Ship,103,2025-05-22,complete,2025-05-22,,
F-27,Grand Junction,,Adrian,Ship,240,2025-05-21,complete,2025-05-21,,
F-30,Grand Junction,,Andres,Ship,65,2025-05-22,complete,2025-05-22,,
F-35,Grand Junction,,Mike,Ship,115,2025-05-22,complete,2025-05-22,,
F-34,Grand Junction,,Andres,Ship,225,2025-05-23,complete,2025-05-23,,
F-36,Grand Junction,,Mike,Ship,185,2025-05-27,complete,2025-05-27,,
F-33,Grand Junction,,Adrian,Ship,450,2025-05-27,complete,2025-05-27,,
F-32,Grand Junction,,Andres,Ship,200,2025-05-28,complete,2025-05-28,,
F-31,Grand Junction,,Adrian,Ship,390,2025-05-29,complete,2025-05-29,,
W-2.24,Grand Junction,,Andres,Cut,250,2025-06-05,pending,2025-06-05,,
W-2.17,Grand Junction,,Adrian,Cut,330,2025-06-05,pending,2025-06-05,,
W-2.21,Grand Junction,,Adrian,Cut,120,2025-06-06,pending,2025-06-06,,
W-2.9,Grand Junction,,Andres,Cut,225,2025-06-06,pending,2025-06-06,,
W-2.18,Grand Junction,,Adrian ,Cut,90,2025-06-06,pending,2025-06-06,,
W-2.20,Grand Junction,,Adrian ,Cut,45,2025-06-06,pending,2025-06-06,,
W-2.7,Grand Junction,,Mike,Cut,31,2025-06-06,pending,2025-06-06,,
W-2.8,Grand Junction,,Mike,Cut,15,2025-06-06,pending,2025-06-06,,
W-2.22,Grand Junction,,Andres,Cut,180,2025-06-06,pending,2025-06-06,,
W-2.11,Grand Junction,,Mike,Cut,30,2025-06-06,pending,2025-06-06,,
W-2.32,Grand Junction,,Andres,Cut,40,2025-06-06,pending,2025-06-06,,
W-2.10,Grand Junction,,Mike,Cut,36,2025-06-06,pending,2025-06-06,,
W-2.14,Grand Junction,,Adrian ,Cut,210,2025-06-06,pending,2025-06-06,,
W-2.28,Grand Junction,,Andres,Cut,40,2025-06-06,pending,2025-06-06,,
W-2.31,Grand Junction,,Adrian ,Cut,90,2025-06-06,pending,2025-06-06,,
W-2.4,Grand Junction,,Adrian,Cut,15,2025-06-09,pending,2025-06-09,,
W-2.3,Grand Junction,,Andres,Cut,75,2025-06-09,pending,2025-06-09,,
W-2.12,Grand Junction,,Adrian ,Cut,30,2025-06-09,pending,2025-06-09,,
W-2.15,Grand Junction,,Andres,Cut,11,2025-06-09,pending,2025-06-09,,
W-2.16,Grand Junction,,Andres,Cut,53,2025-06-09,pending,2025-06-09,,
W-2.19,Grand Junction,,Andres,Cut,30,2025-06-09,pending,2025-06-09,,
W-2.5,Grand Junction,,Adrian,Cut,60,2025-06-09,pending,2025-06-09,,
W-2.20A,Grand Junction,,Andres,Cut,20,2025-06-09,pending,2025-06-09,,
W-2.13,Grand Junction,,Adrian ,Cut,15,2025-06-09,pending,2025-06-09,,
W-2.21A,Grand Junction,,Andres,Cut,30,2025-06-09,pending,2025-06-09,,
W-2.23,Grand Junction,,Andres,Cut,15,2025-06-09,pending,2025-06-09,,
W-2.27,Grand Junction,,Andres,Cut,20,2025-06-09,pending,2025-06-09,,
W-2.26,Grand Junction,,Adrian ,Cut,180,2025-06-09,pending,2025-06-09,,
W-2.25,Grand Junction,,Adrian,Cut,51,2025-06-10,pending,2025-06-10,,
W-2.1,Grand Junction,,Adrian ,Cut,75,2025-06-10,pending,2025-06-10,,
