id,componentId,componentType,currentStatus,lastCompletedProcess,nextProcess,processStatus,percentComplete,completedAt,designUrl,workstation,teamLead,dateshipped,datedelivered,componentsqft,projectId,Level,createdAt,maxHeight,maxWidth,sequence,updatedAt,weight
ef167d3c-77b9-4e0e-9ae2-8e4a7db95421,W-21,Interior Wall ,Delivered,Ship,,Complete,100,3/12/25,,,Adan,3/19/25,3/19/25,78,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
6bf6b08d-0bbe-415c-9607-6ae4966ff2d6,W-22,Interior Wall ,Delivered,Ship,,Complete,100,9/9/24,,,,9/12/24,9/12/24,63,TEK-004-BURGHER325HLND,,22:03.7,,,,7/16/25 00:00,
16c70cd8-89e8-4fb9-971d-5040bbd4be2b,W-22,Interior Wall ,Delivered,Ship,,Complete,100,1/13/25,,,Adrian,5/6/25,5/6/25,100,TEK-015-ASPENGLENSD-2,,22:03.7,,,,7/16/25 00:00,
aa4ed81e-5779-41cc-8fcc-9ec242aed4c8,W-22,Exterior Wall,Delivered,Ship,,Complete,100,11/1/24,,,,2/12/25,2/12/25,80,TEK-018-ASPENGLENSD-5,,22:03.7,,,,7/16/25 00:00,
c80f1179-df31-44e1-95c5-8691779bb20c,W-22,Interior Wall ,Delivered,Ship,,Complete,100,9/13/24,,,,11/5/24,11/5/24,75,TEK-019-ASPENGLENSD-6,,22:03.7,,,,7/16/25 00:00,
218ee4e7-cfb2-4724-80ad-6c9661f54d8f,W-23,Interior Wall ,Delivered,Ship,,Complete,100,9/9/24,,,,9/12/24,9/12/24,126,TEK-004-BURGHER325HLND,,22:03.7,,,,7/16/25 00:00,
5d7a7b5a-580c-421b-8169-7de73106e777,W-23,Interior Wall ,Delivered,Ship,,Complete,100,1/13/25,,,Adrian,5/6/25,5/6/25,18,TEK-015-ASPENGLENSD-2,,22:03.7,,,,7/16/25 00:00,
a6e364dc-ec7e-4c7c-b74b-335b2f98ba6e,W-23,Interior Wall ,Delivered,Ship,,Complete,100,10/21/24,,,,2/12/25,2/12/25,30,TEK-018-ASPENGLENSD-5,,22:03.7,,,,7/16/25 00:00,
48658d81-488a-4c7f-9837-48744c8f6f8c,W-23,Exterior Wall,Delivered,Ship,,Complete,100,10/2/24,,,,11/5/24,11/5/24,85,TEK-019-ASPENGLENSD-6,,22:03.7,,,,7/16/25 00:00,
5e12016b-dfd8-4496-b75d-dccbcdb8697e,W-23A,Interior Wall ,Delivered,Ship,,Complete,100,9/13/24,,,,11/5/24,11/5/24,70,TEK-019-ASPENGLENSD-6,,22:03.7,,,,7/16/25 00:00,
7170c6c4-e0c0-47ce-897e-4000773f5b2c,W-24,Interior Wall ,Delivered,Ship,,Complete,100,9/6/24,,,,9/12/24,9/12/24,21,TEK-004-BURGHER325HLND,,22:03.7,,,,7/16/25 00:00,
b50349b8-03e4-4109-9ffd-aa175fefbabd,W-24,Exterior Wall,Delivered,Ship,,Complete,100,1/13/25,,,Manuel,5/6/25,5/6/25,165,TEK-015-ASPENGLENSD-2,,22:03.7,,,,7/16/25 00:00,
8e4ef35f-227c-486d-8dd6-3c4c2b5e2374,W-24,Exterior Wall,Delivered,Ship,,Complete,100,9/13/24,,,,11/5/24,11/5/24,20,TEK-019-ASPENGLENSD-6,,22:03.7,,,,7/16/25 00:00,
4d2c2a97-6308-4ba9-9981-60e7dd21ee65,W-24A,Interior Wall ,Delivered,Ship,,Complete,100,10/3/24,,,,11/5/24,11/5/24,104,TEK-019-ASPENGLENSD-6,,22:03.7,,,,7/16/25 00:00,
eaedfbaa-8bc4-46ef-aea7-8597c73221d7,W-25,Interior Wall ,Delivered,Ship,,Complete,100,9/6/24,,,,9/12/24,9/12/24,26,TEK-004-BURGHER325HLND,,22:03.7,,,,7/16/25 00:00,
